Model,MAE (°C),RMSE (°C),R2
Naive Persistence,2.7122339239323003,3.8869359094834715,0.8167348181248452
Baseline (LSTM only),2.1028812207587313,2.948249261818847,0.8945625447621243
Hybrid (LSTM + MLP),1.812790209504899,2.5837679546718877,0.9190202242981685
